gene_id,dynamicColors,moduleColors,moduleLabels,gene_name,go_id
ENSMUSG00000076258,darkgrey,darkgrey,1.0,,
ENSMUSG00000088544,darkgrey,darkgrey,1.0,Mir1945,miRNA
ENSMUSG00000065449,darkgrey,darkgrey,1.0,Mir365-1,miRNA
ENSMUSG00000065572,darkgrey,darkgrey,1.0,Mir130b,miRNA
ENSMUSG00000076288,darkgrey,darkgrey,1.0,Mir301b,miRNA
ENSMUSG00000080452,darkgrey,darkgrey,1.0,Mir1306,miRNA
ENSMUSG00000093246,darkgrey,darkgrey,1.0,Mir3618,miRNA
ENSMUSG00000098300,darkgrey,darkgrey,1.0,Mir6540,miRNA
ENSMUSG00000093046,darkgrey,darkgrey,1.0,Mir3081,miRNA
ENSMUSG00000093270,darkgrey,darkgrey,1.0,Mir5134,miRNA
ENSMUSG00000099123,darkgrey,darkgrey,1.0,Mir6965,miRNA
ENSMUSG00000093118,darkgrey,darkgrey,1.0,Mir3083,miRNA
ENSMUSG00000065555,darkgrey,darkgrey,1.0,Mir219a-1,miRNA
ENSMUSG00000098460,darkgrey,darkgrey,1.0,,
ENSMUSG00000098716,darkgrey,darkgrey,1.0,,
ENSMUSG00000076141,darkgrey,darkgrey,1.0,Mir693,miRNA
ENSMUSG00000106514,darkgrey,darkgrey,1.0,Mir6976,miRNA
ENSMUSG00000065491,darkgrey,darkgrey,1.0,Mir7b,miRNA
ENSMUSG00000065532,darkgrey,darkgrey,1.0,Mir187,miRNA
ENSMUSG00000105743,darkgrey,darkgrey,1.0,Mir1949,miRNA
ENSMUSG00000098706,darkgrey,darkgrey,1.0,Mir6979,miRNA
ENSMUSG00000065445,darkgrey,darkgrey,1.0,Mir143,miRNA
ENSMUSG00000076147,darkgrey,darkgrey,1.0,Mir694,miRNA
ENSMUSG00000098346,darkgrey,darkgrey,1.0,Mir6986,miRNA
ENSMUSG00000065582,darkgrey,darkgrey,1.0,Mir194-2,miRNA
ENSMUSG00000065523,darkgrey,darkgrey,1.0,Mir192,miRNA
ENSMUSG00000099230,darkgrey,darkgrey,1.0,Mir6989,miRNA
ENSMUSG00000098844,darkgrey,darkgrey,1.0,Mir6992,miRNA
ENSMUSG00000093314,darkgrey,darkgrey,1.0,Mir5136,miRNA
ENSMUSG00000104979,darkgrey,darkgrey,1.0,Mir6994,miRNA
