	gene_name	DE
722	Mir6977	No
724	Mir5709	No
725	Mir1893	No
730	Mir1948	No
1173	Mir187	Down
731	Mir1949	No
732	Mir6979	No
733	Mir6981	No
1177	Mir145a	Up
1178	Mir143	Up
740	Mir122	No
741	Mir694	Up
742	Mir7219	No
744	Mir6359	No
745	Mir6984	No
747	Mir6986	No
748	Mir6987	No
749	Mir6988	No
1184	Mir194-2	No
1185	Mir192	No
750	Mir6989	Up
752	Mir6990	No
753	Mir6991	No
754	Mir6992	Down
1186	Mir5136	Down
755	Mir6993	No
756	Mir6994	No
757	Mir204	Down
760	Mir101b	No
1188	Mir3970	No
761	Mir107	No
762	Mir1950	No
1189	Mir8092	No
763	Mir5114	Up
765	Mir146b	Up
766	Mir6995	No
770	Mir5623	No
771	Mir3086	No
773	Mir500	No
774	Mir501	No
775	Mir362	No
776	Mir188	No
777	Mir532	Up
778	Mir1198	No
865	Mir221	Up
866	Mir222	Up
779	Mir5617	Up
867	Mir3110	No
868	Mir363	Down
869	Mir92-2	No
870	Mir19b-2	Down
871	Mir20b	Down
872	Mir18b	Down
873	Mir106a	Down
874	Mir450b	No
875	Mir450-1	Down
876	Mir450-2	No
877	Mir542	Down
878	Mir351	No
879	Mir503	No
880	Mir322	Down
782	Mir5116	Up
783	Mir504	Down
784	Mir505	Down
881	Mir743	Up
882	Mir743b	Up
883	Mir742	No
884	Mir883a	No
885	Mir883b	No
886	Mir471	No
887	Mir741	No
888	Mir463	No
889	Mir880	Up
890	Mir878	No
891	Mir881	No
892	Mir871	Up
893	Mir470	Up
899	Mir465	Up
900	Mir201	No
901	Mir547	Up
785	Mir224	Up
786	Mir452	No
789	Mir2137	Down
790	Mir5132	No
903	Mir718	No
791	Mir7091	Up
792	Mir7092	No
795	Mir223	Down
796	Mir676	Down
797	Mir421	No
799	Mir672	Down
905	Mir384	Down
800	Mir325	Down
801	Mir361	No
802	Mir3112	No
803	Mir7093	No
804	Mir7646	No
909	Mir3475	Down
805	Mir652	Down
809	Mir1264	No
810	Mir1298	Down
811	Mir448	Down
813	Mir3113	No
814	Mirlet7f-2	Up
815	Mir98	Up
